image,product_name,price,category,description
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/93T4Lwsw.png,Intensive Serum 4 Plus,,Youth EssentiA,"This is the NEW Environ Youth EssentiA Vita-Peptide Serum 4 Plus and is the ultimate level in their premium Vitamin STEP-UP SYSTEM. It contains the optimum of antioxidants, peptides and clinically researched ingredients. This serum helps combat the visible signs of ageing to create the appearance of even, smoother and more youthful looking skin., ,The Environ complex of Vitamins A,C as well as E and antioxidants that help combat the effects of free radicals and improve the skins appearance.,Intensive Serum 4 Plus should only be used when the skin has become comfortable with the dynamic product duo of the Youth EssentiA C-Quence Serum 4 and Antioxidant Creme.,Use it morning and evening to firm the skin, smooth wrinkles and reduce uneven skin tone.,Please note- Due to the strength of this product we would advise you contact us on 01392 878838 before purchase to discuss suitability. This product is part of a step-up system and would require you to have used C-Quence Serum 1,2,3 &4 before starting Intensive Serum 4 Plus."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/08092016-174950-skin_essentia_clay_masque.jpg,Hydrating Clay Masque,,Skin EssentiA,"Environ’s AVST Clay Masque is a face masque specifically developed to improve hydration, whilst at the same time removing excess oil from the skins surface.,The beauty of this face masque is that it does not leave the skin feeling dry or tight, it feels nicely hydrated and more flexible. The Vitamin E contained in it is an antioxidant which further helps hydration.,For those suffering with blackheads, acne or problem skin this will significantly help solve it. The masque deep cleanses the pores using the purest of clays which will absorb excess oils and will unblock the congestion.,You will need to leave the masque on for about 10 to 20 minutes or alternatively you leave it on overnight and take it off in the morning with warm water.  You can use it once or twice a week and it is suitable for all ages and skin types."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/b8-ZgpWQ.png,Hydra-Intense Cleansing Lotion,,Youth EssentiA,"The Environ Youth Essential Hydra-Intense Cleansing Lotion is perfect for all skin types especially dry skins. It has anti-oxidant properties giving the ability to really hydrate the skin and maintaining a natural water proofing barrier of the skin.It contains some fabulous ingredients like Jojoba Seed Oil, Olive Oil Esters, Hydrolysed Oats and Panthenol which maintain sebum balance, calm and heal the skin leaving it smooth and healthy looking."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/HA-Intensive-Hydrating-Serum-1.png,HA Intensive Hydrating Serum,,Focus Care Moisture+,"The benefits of Environ’s Ionzyme Intensive Hydrating Serum is that it maintains a healthy skin by protecting it from the damaging effects of free radicals, then hydrates and heals the skin.,By adding volume to targeted areas through its hydrating process the skin becomes plumped reducing the signs of ageing with a reduction in the tell tell signs i.e. fine lines and wrinkles."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/IY0vs4NA.jpeg,Derma-lac lotion – 200ml,,Body,"The new Environ Derma-Lac Lotion suitable for all skin types is designed to gently refine dry, rough body skin, including feet, elbows and knees, leaving it smooth and soft.,Rather than peeling the skin it hydrates the skin by helping it to retain its natural moisture, making it useful for dry or flaky skin, and for smoothing coarse, sun damaged skin. It also works by assisting the natural exfoliating function, leading to a clearer skin with greater resilience and a finer texture.,Derma-Lac Lotion is particularly effective as a preparation for treating excessive sun damage on the body when used in conjunction with Environ®’s vitamin-based body oil. Skin treated with both products appears more youthful and is firmer and tauter.,Just apply derma-lac lotion followed by your recommended Environ Vitamin A product. Apply your preferred Environ sunscreen when exposed to the sun., – Be aware that this product contains Alpha Hydroxy Acids that,
may increase your skin’s sensitivity to the sun in particular the possibility of,
sunburn. So, use a sunscreen, wear protective clothing, and limit sun exposure,
while using this product and for a week afterwards."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/KMc_QGsA.png,Defence Creme Plus,,Youth EssentiA,"Used in combination with Vita-Peptide Intensive Serum 4 Plus, this powerful moisturising crème is enriched with a high concentration of vitamin A and C, as well as several antioxidants that help to combat the effects of free radical damage. It also contains a dynamic combination of peptides and moisturisers that help to visibly reduce the signs of ageing – keeping skin looking beautifully healthy and radiant."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/PLN8GIDQ.png,Defence Cream,,Youth EssentiA,"The Youth EssentiA Antioxidant Defence Cream is ideally used in combination with the Youth EssentiA C-Quence serums 1 – 4, as a Crème it completes the Ionzyme skin care programme by assisting in providing added nourishment to the skin.,It is rich in antioxidants, including Vitamins C and E, Pro-Vitamin B5, Jojoba oil, Green Tea, Rosemary extracts and Lutein.,This powerful formula helps to improve the appearance for a firmer and more hydrated skin."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/KEKKPwOA.png,RAD SPF 15 – 100ml,,Sun Care Range,"Environ’s RAD SPF 15 is highly effective in filtering the harmful ageing UVA and UVB rays because it contains highly reflective absorbent filters. It is highly charged with anti-oxidants like Vitamin C, E & Beta Carotene which also helps to reflect the sun’s radiation. The skin is further protected from free radical and photo damage.,It is fully effective for 10-12 weeks once opened and is suitable for all skin types and ages including children and babies and it comes in an easy to use 75ml tube.,You should apply the RAD 15 to sun exposed areas about 30 minutes before sun exposure can be used over the Environ creams and can be worn under make up. Reapply regularly and liberally."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Peptide-Enriched-Frown-Serum.jpg,Peptide Enriched Frown Serum,,Focus Care Youth+,"Environ Peptide Enriched Frown Serum will soften the muscle activity around the eyes and forehead. The net result is a visible reduction of fine wrinkles and frown lines.,Ideally you could treat the area of skin with an Environ Cosmetic Roll-CIT™ / Focus-CIT™ and then apply 1-2 drops of Environ Focus Frown Serum to the forehead and sides of the eyes where the fine lines are seen.,You can use these Environ products in the mornings and evenings and it is suitable for all skin types and particularly mature skins."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Oil-Free-Eye-Make-Up-Remover.jpg,Oil Free Eye Makeup Remover,,Skin EssentiA,"Environ’s AVST Eye Make-up Remover is an oil free and a non irritating eye make-up remover.,Using a cotton wool swab with this make-up remover the make-up is gently and thoroughly removed without damaging or drying the delicate skin around the eye.,The Environ AVST Eye Make-up Romves is suitable for all skin types and ages and can bed used by even the most sensitive of skins.,This Environ product has a powerful antioxidant and is fragrance and preservative free."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/cleansing-lotion.jpg,Mild Cleansing Lotion,,Skin EssentiA,"Environ Skin EssentiA cleansers and the Skin EssentiA Cleansing Lotion have been designed to remove excess oils from the skin along with makeup and impurities. The ingredients have been combined to maintain the natural acid mantle of the skin, essential as a barrier to attacks from bacteria.Along with being a terrific cleanser it is very hydrating, soothing and calming for the skin.,The Skin EssentiA Cleansing Lotion is recommended for skin type including sensitive skins and any age group or gender.,This light, non-foaming milky cleanser is applied liberally to the face and neck resulting in a a soft, luxurious after feel.,Because it cleanses without stripping the natural oils from the skin means that the integrity of the natural acid barrier is maintained."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/41430i_Vita-Botanical_Mela-Fade-Serum_30ml-AB-550px.jpeg,Mela-Fade Serum System,,Focus Care Radiance+,"With these two serums, Environ is leading the way with the fight against pigmentation by tackling the root cause of pigmentation and preventing further patches from developing. The Vita-Botanical Mela-Fade system uses a combination of intelligent ingredients to lighten and brighten, reduce hyper-pigmentation leaving the skin radiant and more evenly toned."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Mela-Even-Cream.jpg,Mela-Even Cream C-Boost,,Focus Care Radiance+,"Environ’s Evenescence C-Boost maintains healthy youthful skin with an antioxidant protection system to act as a barrier to environmental and bacteria attack.,This Environ product is suitable for all skin types as maintenance and you should be using Vitamin A products for 3 to 4 weeks in advance to allow your skin to become used to Vitamin A.,This C-Boost cream also contains Vitamins C and E and the ingredients in this product strengthen capillary walls, stimulates collagen and is an anti-inflammatory which all goes to lighten, tighten and brighten the skin."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/environ.jpg,Mela Prep Lotion,,Focus Care Radiance+,"Formerly known as Evenesence Clarifying Lotion, this lightweight lotion has been designed to target hyper-pigmentation and sun damage. Containing a combination of ingredients to lighten, brighten and inhibit pigmentation this lotion will leave the looking fresh, radiant and more even."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Botanical-Infused-Sebu-Spot-Blemish-Gel.jpg,Sebu-Spot Blemish Gel,,Focus Care Clarity+,Environ’s Botanical Infused Sebu-Spot Blemish Gel is part of the new Focus Care Clarity+ Range (formerly part of the B-Active Range) helps to accelerate the healing process to soothe and help the spot calm quicker without drying out. This is the 3rd product in phase 2 of the 3-phase process.
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Hydroxy-Acid-Sebu-Lac-Lotion.jpg,Sebu-Lac Lotion,,Focus Care Clarity+,"Hydroxy Acid Sebu-LAC Lotion is a non-oily lotion designed to help combat the signs of breakouts and to assist in improving the texture and tone of breakout-prone skin. Containing a special combination of Lactic Acid exfoliators and moisturisers, it leaves the skin feeling softer, smoother and more balanced. This is part of the 2nd phase of the 3 phase Focus Care Clarity+ range."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Hydroxy-Acid-Sebu-Clear-Masque.jpg,Sebu-Clear Masque,,Focus Care Clarity+,"Hydroxy Acid Sebu-Clear Masque is a low pH creamy mask and is the third and final phase of Focus Care Clarity+ 3-phase process. The Masque assists in clearing the appearance of existing breakouts, with a combination of exfoliating acids leaving the skin looking visibly healthier and smoother clear breakouts with the use of Salicylic and Lactic Acid."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Vita-Botanical-Sebu-ACE-Oil.jpg,Sebu-Ace Oil,,Focus Care Clarity+,"Vita-Botanical Sebu-ACE Oil is a lightly-textured botanical and vitamin-enriched oil that helps to control the appearance of blemishes. It is scientifically formulated to provide the skin with essential vitamins A, C & E leaving the skin looking and feeling healthier and smoother. This is part of the ‘control’ 2nd phase of the 3-phase process as part of the Focus Care Clarity+ range."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/EN8004-2.jpg,Roll Cit Cleaning solution,,Instruments+,A solution specifically designed to effectively cleanse all the Environ cosmetic needling instruments.
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Concentrated-Retinol-Serum-3.jpg,Retinol Serum 3,,Focus Care Youth+,"Environ Concentrated Retinol 3 is the third stage in the Retinol process and is an intensive treatment containing a high dosage of Vitamin A for optimal skin health and skin rejuvenation.,This Environ product is designed for skins that have been photo-aged, have pigmented or are “problem skins”. The formula helps to normalise the skin and help promote the production of collagen and elastin.,The Environ Retinol 3 is not suitable for people with sensitive skins or those who have not acclimatised their skins to Environ AVST 5 or Ionzyme® C-Quence 3.,Please note- Due to the strength of this product we would advise you contact us on 01392 878838 before purchase to discuss suitability."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Concentrated-Retinol-Serum-2.jpg,Retinol Serum 2,,Focus Care Youth+,"The Environ Concentrated Retinol 2 is the second stage in the Retinol process and is an intensive treatment containing a high dosage of Vitamin A for optimal skin health and skin rejuvenation. The Environ Retinol 2 is suitable for skins that have been photo aged, have pigmented or problem skins.,The formula in the Environ Retinol range helps to normalise the skins and help promote the production of collagen and elastin. It would not be for people with sensitive skins or those who have not acclimatised their skins to Environ AVST 5 or Ionzyme® C-Quence 3.,Please note- Due to the strength of this product we would advise you contact us on 01392 878838 before purchase to discuss suitability."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Vita-Antioxidant-AVST-Moisturiser-1.jpg,Vita-Antioxidant AVST Moisturiser 1,,Skin EssentiA,"The Environ Vita-Antioxidant AVST Moisturiser 1 – 50ml is the introductory moisturiser for the AVST step-up system and has been produced to normalise and repair the skin. The benefits of the Environ Skin EssentiA AVST range are in the form of protecting from free radical and UV damage, to hydrate and heal along with stimulation of Collagen production. Some of the feature antioxidants are Vitamin A, Vitamin B5, Vitamin E, Green Tea and more.,This unique emulsion is to be applied morning and evening and it assists in combating the visible signs of ageing.,Please note- Due to the strength of this product we would advise you contact us on 01392 878838 before purchase to discuss suitability. This product is part of a step-up system."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/0001443_vita-antioxidant-avst-gel_550.jpeg,Vita-Antioxidant AVST Gel,,Skin EssentiA,"The Environ Vita-Antioxidant Gel contains a formula of high concentrations of Vitamins C and E, Beta-Carotene and Panthenol. This forms a non-greasy, non-sticky gel formula for clients who have  sensitivity to the Environ Vitamin A moisturisers or other of the topical vitamin A products.,It is ideally suited to those with dry, or sensitive skin types that are could be easily irritated or those who have problem skins.After you have cleansed your skin ideally with your preferred Environ products you can then add the Antioxidant Gel which can be used on its own or with your moisturiser.,This anti-oxidant gel does not have any sun protection in it so please use a broad spectrum sunscreen to reduce the harmful effects of UVA & UVB rays."
https://www.buymebeauty.co.uk/wp-content/uploads/2020/02/iYUTDjhI.jpeg,Vita- Enriched Antioxidant Gel,,"Environ,Focus Care Comfort+","This fragrance free gel acts as an anti- pollution system which may help to protect the skin from external and internal stressors which could compromise skin health and wellbeing. It is enriched with vitamins and a variety of powerful antioxidants including Bete-Carotene, the plant form of vitamin A, vitamin C and vitamin E. It leaves the skin feeling protected and looking healthier., "
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/avance-moisturizer.jpeg,Tri-Peptide Complex Avance Moisturiser,,Focus Care Youth+,"The ,from Environ is a brand new exciting skincare innovation. This terrific product enables the combination of 3 scientific formulae that are powerful peptide complexes that will help keep your skin looking younger for longer. Peptides are known as essential ingredients for advanced preparations for anti-ageing skin care. This makes it a luxurious multi-functional moisturiser which will not only help improve the overall appearance of the skin, but also leave it feeling well moisturised, smoother and looking firmer.,, with its potent trilogy of peptide complexes, is recommended even before the signs of time, stress and everyday living begin to manifest through your skin.,These three smart peptide complexes help to smooth out lines and wrinkles and restores collagen levels, making the skin appear plumper, smoother and youthfully radiant. Moisturising agents squalane and hyaluronic acid assist in skin hydration and help improve the elasticity of the skin, with the added benefit of vitamin E to quench Free Radicals.,By using the , with Environ’s Vitamin A moisturisers, this fantastic product can really help revitalising the appearance of your skin."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/EnvironFocusCareYOUTHElixir-scaled.jpeg,Tri-Peptide complex + Avance Elixir,,Focus Care Youth+,"Contains Měiritage, a unique blend of extracts from Chinese roots used in traditional medicine, which has been shown to be effective in reducing the effects of oxidative stress (UV radiation and pollution) and lightening the appearance of uneven skin tone. It also contains a combination of three powerful peptide complexes that may assist in improving the overall structure of the skin. This powerful combination of ingredients in this multi functional serum may leave the skin looking radiantly luminous and resiliently younger for longer."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Tri-BioBotanical-Revival-Masque.jpg,Tri-Bio Botanical Revival Masque,,Focus Care Youth+,"Environ have invested 4 years of research to develop this Masque formulated with a unique blend of AHAs, which targets and corrects the most common signs of ageing to give skin a younger, fresher look.,The Environ Revival Masque is suitable for most skin types and in particular dry, mature and photo-damaged skins. The potent nature of the anti-ageing ingredients in this Revival Masque means a little care should be taken introduce it gradually into your routine. It contains a combination of three acids which combine to stimulate the release of key cells and growth factors within the skin.,The significant benefits of the Environ Revival Masque are lightened pigmentation, reduction in fine lines and wrinkles with a tighter, smoother more radiant looking skin.,The combination of these AHA’s stimulate growth factors which in turn improve skin cell renewal. The Lactic acid hydrates the skin helping to smooth the skin and the Mandelic Acid helps to reduce wrinkles and any visible inflammation. You can apply to a cleansed skin twice a week leaving it on for about 10-20 minutes before removing with warm water. Once the skin has acclimatised to the ingredients in this product the masque can be used as an overnight treatment."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/pre-cleansing-oil.jpg,Skin Dual Action Pre-Cleansing Oil,,Skin EssentiA,"Effective cleansing of the skin is an imperative to good healthy skin and the Environ Skin EssentiA Pre Cleansing Oil should be that first step. It will also help to moisturise the skin.,Environ’s new deeper cleansing formula which includes jojoba oil. The activity of a solvent very gently removes make up, surface oils and any environmental debris from the skin.,The use in this product of a coconut oil derivative keeps water loss to a minimum from the skin and hence will improve hydration, especially in dry climatic conditions or in the winter when the central heating is on!,The Environ Pre Cleansing Oil also has an emulsifier in which will help to remove any excess oil from the surface of the skin leaving it feeling soft and hydrated."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/3mxHga6g.png,Vita-Peptide Eye Gel – 10ml,,Youth EssentiA,"Environ Youth EssentiA Vita-Peptide Eye Gel has a low level of Vitamin A, is ideal for all skin types and those with lines and prematurely aged skin.,The very light gel has essential vitamins, antioxidants and peptides which help to reduce the visible signs of ageing e.g. fiine lines and wrinkles around the eyes. The eyes being one of the areas that people first look at, makes this an extremely popular product with us.,You do not need much to be applied in the morning and night so it goes a long way. So, if your eyes are beginning to show the signs of ageing then the Environ Youth EssentiA Vita-Peptide Eye Gel is a must for you."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Vita-Enriched-Colostrum-Gel.jpg,Vita-Enriched Colostrum Gel,,Focus Care Comfort+,"The Environ Intensive Colostrum Gel contains bovine colostrum. This ingredient is incredibly effective for sensitive or reactive skins and very good more mature skins because it helps to strengthen the skin.,Mature clients or those with very thin fragile skins benefit from the Environ Colostrum Gel because it helps to stimulate collagen and elastin, hence thickening the skin.,Sensitive skins or clients who suffer from breakouts can be helped because this Environ gel will normalise, strengthen, soothe and repair the skin."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Vita-Complex-Super-Moisturiser.png,Vita-Complex Super Moisturiser,,Focus Care Moisture+,"Environ have further improved this product and have now called it the Vita-Complex Super Moisturiser+. It is a super rich, luxurious cream designed to combat the damaging effects of the environment and subsequent dehydration.,The Environ Super Moisturiser is formulated with powerful repairing and moisturising agents and the cream is scientifically proven to replenish the skin’s moisture levels whilst strengthening the weakened epidermal barrier. The Antioxidants contained in the formula help shield the while pure grade Lanolin soothes and protects any areas of compromised skin.,This Environ Product perfect for those cold windy days and your skin is left feeling deeply nourished, soft and smooth. It is suitable for dry, damaged and sensitive skins and you should apply it after using our recommended Environ Vitamin A moisturiser and ideally once or twice a day to get best results."
